TotalDeaths,Carrier,Aircraft,Location,Date
90,Aeroflot,Ilyushin,"Mendeleyevo, Russian SFSR, USSR",7/6/1982
153,Pan Am,Boeing,"Kenner, Louisiana, US",7/9/1982
50,Spantax,McDonnell,"Málaga, Spain",9/13/1982
119,TAME,Boeing,"Cuenca, Ecuador",7/11/1983
90,Aeroflot,Tupolev,"Almaty, Kazakh SSR, USSR",8/30/1983
130,TAAG Angola,Boeing,"Lubango, Angola",11/8/1983
181,Avianca,Boeing,"Madrid, Spain",11/27/1983
53,Nigeria,Fokker,"Enugu, Nigeria",11/28/1983
93,Iberia Flight 350 and Aviaco,Boeing,"Madrid, Spain",12/7/1983
50,Balkan Bulgarian,Tupolev,"Sofia, Bulgaria",1/10/1984
53,Aeroservicios Ecuatorianos,Douglas,"Quito Canton, Ecuador",9/18/1984
178,Aeroflot,Tupolev,"Omsk, Russian SFSR, USSR",10/11/1984
110,Aeroflot,Tupolev,"Yemelyanovsky, Russian SFSR, USSR",12/23/1984
70,Galaxy Airlines,Lockheed,"Reno, Nevada, US",1/21/1985
148,Iberia Airlines,Boeing,"Oiz mountain, Spain",2/19/1985
51,Air,Antonov,"Timbuktu, Mali",2/22/1985
94,Aeroflot Flight 8381 andSoviet Air,Tupolev,"Zolochiv, Ukrainian SSR, USSR",5/3/1985
200,Aeroflot,Tupolev,"Uchkuduk, Uzbek SSR, USSR",7/10/1985
80,Fuerza Aérea,Douglas,"Leticia, Colombia",7/24/1985
137,Delta Air Lines,Lockheed,"Dallas–Fort Worth, Texas, US",8/2/1985
520,Japan Airlines,Boeing,"Ueno, Japan",8/12/1985
55,British Airtours,Boeing,"Manchester, England, UK",8/22/1985
256,Arrow Air,McDonnell,"Gander, Newfoundland, Canada",12/12/1985
93,Aerovias Guatemala,Sud,"Flores, Guatemala",1/18/1986
167,Mexicana,Boeing,"Sierra Madre Oriental Mts., Mexico",3/31/1986
54,Aeroflot,Tupolev,"Komi ASSR, Russian SFSR, USSR",7/2/1986
82,Aeroméxico Flight 498 and Private,McDonnell,"Cerritos, California, US",8/31/1986
70,Aeroflot,Tupolev,"Samara Oblast, Russian SFSR, USSR",10/20/1986
72,Aeroflot,Tupolev,"Bohnsdorf, East Germany",12/12/1986
50,Varig,Boeing,"Bingerville, Côte d'Ivoire",1/3/1987
183,LOT,Ilyushin,"Warsaw, Poland",5/9/1987
50,Philippine Airlines,Hawker,"Benguet, Philippines",6/26/1987
156,Northwest Airlines,McDonnell,"Romulus, Michigan, U.S.",8/16/1987
83,Thai Airways,Boeing,"Phuket, Thailand",8/31/1987
159,South African Airways,Boeing,Mauritius,11/28/1987
108,China Southwest Airlines,Ilyushin,"Chongqing, China",1/18/1988
143,Avianca,Boeing,"Sardinata, Colombia",3/17/1988
75,Vietnam Airlines,Tupolev,"Lam Luk Ka District, Thailand",9/9/1988
133,Indian Airlines,Boeing,"Ahmedabad, India",10/19/1988
144,Independent Air,Boeing,"Pico Alto Mtn., Azores, Portugal",2/8/1989
176,Surinam Airways,Douglas,"Paramaribo, Surinam",6/7/1989
59,Fuerza Aérea del,de,"Tarma, Peru",6/21/1989
111,United Airlines,McDonnell,"Sioux City, Iowa, US",7/19/1989
79,Korean Air,McDonnell,"Tripoli, Libya",7/27/1989
54,Pakistan International Airlines,Fokker,"Bunji, Pakistan",8/25/1989
150,Cubana de Aviación,Ilyushin,"Havana, Cuba",9/3/1989
55,Partnair,Convair,"Skagerrak, near Hirtshals, Denmark",9/8/1989
131,Tan-Sahsa,Boeing,"Tegucigalpa, Honduras",10/21/1989
54,China Airlines,Boeing,"Hualien City, Taiwan",10/26/1989
73,Avianca,Boeing,"Cove Neck, New York, US",1/25/1990
92,Indian Airlines,Airbus,"Bangalore, India",2/14/1990
63,Elleniki Polemikí,Lockheed,"Mount Othrys, Greece",2/5/1991
223,Lauda Air,Boeing,"Phu Toei National Park, Thailand",5/26/1991
261,Nigeria Airways,McDonnell,"Jeddah, Saudi Arabia",7/11/1991
69,Indian Airlines,Boeing,"Imphal, India",8/16/1991
51,Aeroflot,Yakovlev,"Untsukulsky District, Dagestan ASSR, Russian SFSR, USSR",11/7/1991
87,Air Inter,Airbus,"Barr, France",1/20/1992
70,Mandala Airlines,Vickers,"Ambon Island, Indonesia",7/24/1992
108,China General Aviation,Yakovlev,"Nanjing, China",7/31/1992
113,Thai Airways International,Airbus,"Langtang National Park, Nepal",7/31/1992
84,Aeroflot,Tupolev,"Ivanovo Oblast, Russia",8/27/1992
167,Pakistan International Airlines,Airbus,"Kathmandu, Nepal",9/28/1992
141,China Southern Airlines,Boeing,"Yanshan District, China",11/24/1992
56,Martinair,McDonnell,"Faro, Portugal",12/21/1992
157,Libyan Arab Airlines Flight 1103 andLibyan,Boeing,"Qasr bin Ghashir, Tripoli, Libya",12/22/1992
83,Palair Macedonian Airlines,Fokker,"Petrovec, Republic of Macedonia",3/5/1993
56,Indian Airlines,Boeing,"Aurangabad, India",4/26/1993
132,SAM Colombia,Boeing,"Medellín, Colombia",5/19/1993
55,China Northwest Airlines,British,"Yinchuan, China",7/23/1993
68,Asiana Airlines,Boeing,"Mokpo, South Korea",7/26/1993
82,Tajikistan,Yakovlev,"Khorog, Tajikistan",8/28/1993
116,Avioimpex,Yakovlev,"Ohrid, Republic of Macedonia",11/20/1993
124,Baikal Air,Tupolev,"Irkutsk, Russia",1/3/1994
75,Aeroflot,Airbus,"Mezhdurechensk, Russia",3/23/1994
264,China Airlines,Airbus,"Komaki, Japan",4/26/1994
160,China Northwest Airlines,Tupolev,"Xian, China",6/6/1994
80,Air Mauritanie,Fokker,"Tidjikja, Mauritania",7/1/1994
132,US Air,Boeing,"Aliquippa, Pennsylvania, US",9/8/1994
66,Iran Aseman Airlines,Fokker,"Natanz, Iran",10/12/1994
68,American Eagle,ATR,"Roselawn, Indiana, US",10/31/1994
57,Turkish Airlines,Boeing,"Van, Turkey",12/29/1994
51,Intercontinental de Aviación,Douglas,"María La Baja, Colombia",1/11/1995
60,TAROM,Airbus,"Balotești, Romania",3/31/1995
65,Aviateca,Boeing,"San Vicente volcano, El Salvador",8/9/1995
53,Lineas Aéreas del Estado,Fokker,"Champaqui, Córdoba, Argentina",11/8/1995
71,Cameroon Airlines,Boeing,"Douala, Cameroon",12/3/1995
52,Azerbaijan Airlines,Tupolev,"Nakhchivan, Azerbaijan",12/5/1995
98,Khabarovsk United Air,Tupolev,"Khabarovsk Krai, Russia",12/6/1995
141,Trans Service,Lockheed,"Jamba, Cuando Cubango, Angola",12/18/1995
159,American Airlines,Boeing,"Buga, Colombia",12/20/1995
251,Air,Antonov,"Kinshasa, DR Congo (then Zaire)",1/8/1996
189,Birgenair,Boeing,"Puerto Plata, Dominican Republic",2/6/1996
123,Faucett,Boeing,"Arequipa, Peru",2/29/1996
53,Federal,Antonov,"Khartoum North, Sudan",5/3/1996
110,ValuJet,McDonnell,"Everglades, Florida, US",5/11/1996
230,TWA,Boeing,"East Moriches, New York, U.S.",7/17/1996
141,Vnukovo Airlines,Tupolev,"Svalbard, Norway",8/29/1996
70,Aeroperú,Boeing,"Lima, Peru",10/2/1996
99,TAM Airlines,Fokker,"São Paulo, Brazil",10/31/1996
144,ADC Airlines,Boeing,"Lagos State, Nigeria",11/7/1996
349,Saudi Arabian Flight 763 andKazakhstan Airlines,Boeing,"Charkhi Dadri, India",11/12/1996
50,Stavropolskaya Aktsionernaya Avia,Antonov,"Cherkessk, Russia",3/18/1997
228,Korean Air,Boeing,"Asan, Guam, U.S.",8/6/1997
65,Vietnam Airlines,Tupolev,"Phnom Penh, Cambodia",9/3/1997
234,Garuda Indonesia,Airbus,"Medan, Indonesia",9/26/1997
74,Austral Líneas Aéreas,McDonnell,"Nuevo Berlín, near Fray Bentos, Uruguay",10/10/1997
85,Tajikistan Airlines,Tupolev,"Sharjah, United Arab Emirates",12/15/1997
70,Aerosvit,Yakovlev,"Pierian Mountains, Greece",12/17/1997
104,SilkAir,Boeing,"Musi River, Indonesia",12/19/1997
104,Cebu Pacific Air,McDonnell,"Mount Balatukan, Philippines",2/2/1998
203,China Airlines,Airbus,"Dayuan District, Taiwan",2/16/1998
53,Air France,Boeing,"Monserrate Mtn., Bogotá, Colombia",4/20/1998
75,Peruvian Air,Boeing,"Andoas, Peru",5/5/1998
80,Cubana de Aviación,Tupolev,"Quito, Ecuador",8/29/1998
229,Swissair,McDonnell,"Peggys Cove, N.S., Canada",9/2/1998
101,Thai Airways,Airbus,"Surat Thani, Thailand",12/11/1998
61,China Southwest Airlines,Tupolev,"Wenzhou, Zhejiang, China",2/24/1999
65,LAPA,Boeing,"Palermo, Argentina",8/31/1999
217,EgyptAir,Boeing,"Nantucket, Massachusetts, U.S.",10/31/1999
169,Kenya Airways,Airbus,Gulf of Guineaoff Côte d'Ivoire,1/30/2000
